Episode,State_X,State_Y,Goal_X,Goal_Y,Distance_to_Goal,Obstacle_Density,Step_Cost,Goal_Reward,Collision_Penalty
184,3,2,7,7,9,0.140625,-1,100,-10
185,0,6,7,7,8,0.140625,-1,100,-10
186,2,5,7,7,7,0.140625,-1,100,-10
187,3,2,7,7,9,0.140625,-1,100,-10
188,7,0,7,7,7,0.140625,-1,100,-10
189,5,5,7,7,4,0.140625,-1,100,-10
190,3,2,7,7,9,0.140625,-1,100,-10
191,0,7,7,7,7,0.140625,-1,100,-10
192,7,1,7,7,6,0.140625,-1,100,-10
193,0,0,7,7,14,0.140625,-1,100,-10
194,0,6,7,7,8,0.140625,-1,100,-10
195,7,1,7,7,6,0.140625,-1,100,-10
196,5,1,7,7,8,0.140625,-1,100,-10
197,2,4,7,7,8,0.140625,-1,100,-10
198,5,6,7,7,3,0.140625,-1,100,-10
199,0,1,7,7,13,0.140625,-1,100,-10
200,2,2,7,7,10,0.140625,-1,100,-10
201,7,6,7,7,1,0.140625,-1,100,-10
202,2,7,7,7,5,0.140625,-1,100,-10
203,3,4,7,7,7,0.140625,-1,100,-10
204,3,1,7,7,10,0.140625,-1,100,-10
205,7,0,7,7,7,0.140625,-1,100,-10
206,1,1,7,7,12,0.140625,-1,100,-10
207,2,1,7,7,11,0.140625,-1,100,-10
208,0,5,7,7,9,0.140625,-1,100,-10
209,7,0,7,7,7,0.140625,-1,100,-10
210,2,4,7,7,8,0.140625,-1,100,-10
211,7,5,7,7,2,0.140625,-1,100,-10
212,6,4,7,7,4,0.140625,-1,100,-10
213,3,1,7,7,10,0.140625,-1,100,-10
214,6,6,7,7,2,0.140625,-1,100,-10
215,0,5,7,7,9,0.140625,-1,100,-10
216,0,5,7,7,9,0.140625,-1,100,-10
217,6,1,7,7,7,0.140625,-1,100,-10
218,3,0,7,7,11,0.140625,-1,100,-10
219,4,7,7,7,3,0.140625,-1,100,-10
220,0,3,7,7,11,0.140625,-1,100,-10
221,7,2,7,7,5,0.140625,-1,100,-10
222,1,3,7,7,10,0.140625,-1,100,-10
223,4,5,7,7,5,0.140625,-1,100,-10
224,2,7,7,7,5,0.140625,-1,100,-10
225,4,2,7,7,8,0.140625,-1,100,-10
226,7,7,7,7,0,0.140625,-1,100,-10
227,3,0,7,7,11,0.140625,-1,100,-10
228,4,4,7,7,6,0.140625,-1,100,-10
229,1,5,7,7,8,0.140625,-1,100,-10
230,6,0,7,7,8,0.140625,-1,100,-10
231,5,1,7,7,8,0.140625,-1,100,-10
232,5,3,7,7,6,0.140625,-1,100,-10
233,0,7,7,7,7,0.140625,-1,100,-10
234,1,4,7,7,9,0.140625,-1,100,-10
235,1,7,7,7,6,0.140625,-1,100,-10
236,5,6,7,7,3,0.140625,-1,100,-10
237,3,3,7,7,8,0.140625,-1,100,-10
238,5,6,7,7,3,0.140625,-1,100,-10
239,6,0,7,7,8,0.140625,-1,100,-10
240,5,0,7,7,9,0.140625,-1,100,-10
241,2,6,7,7,6,0.140625,-1,100,-10
242,2,6,7,7,6,0.140625,-1,100,-10
243,3,1,7,7,10,0.140625,-1,100,-10
244,2,4,7,7,8,0.140625,-1,100,-10
245,6,4,7,7,4,0.140625,-1,100,-10
246,7,6,7,7,1,0.140625,-1,100,-10
247,6,4,7,7,4,0.140625,-1,100,-10
248,2,3,7,7,9,0.140625,-1,100,-10
249,0,2,7,7,12,0.140625,-1,100,-10
250,7,3,7,7,4,0.140625,-1,100,-10
251,0,5,7,7,9,0.140625,-1,100,-10
252,7,6,7,7,1,0.140625,-1,100,-10
253,2,3,7,7,9,0.140625,-1,100,-10
254,4,1,7,7,9,0.140625,-1,100,-10
255,2,1,7,7,11,0.140625,-1,100,-10
256,7,5,7,7,2,0.140625,-1,100,-10
257,6,6,7,7,2,0.140625,-1,100,-10
258,7,0,7,7,7,0.140625,-1,100,-10
259,7,0,7,7,7,0.140625,-1,100,-10
260,3,4,7,7,7,0.140625,-1,100,-10
261,2,1,7,7,11,0.140625,-1,100,-10
262,1,6,7,7,7,0.140625,-1,100,-10
263,2,2,7,7,10,0.140625,-1,100,-10
264,7,1,7,7,6,0.140625,-1,100,-10
265,7,7,7,7,0,0.140625,-1,100,-10
266,4,1,7,7,9,0.140625,-1,100,-10
267,1,2,7,7,11,0.140625,-1,100,-10
268,4,1,7,7,9,0.140625,-1,100,-10
269,3,0,7,7,11,0.140625,-1,100,-10
270,4,0,7,7,10,0.140625,-1,100,-10
271,5,0,7,7,9,0.140625,-1,100,-10
272,1,1,7,7,12,0.140625,-1,100,-10
273,6,0,7,7,8,0.140625,-1,100,-10
274,3,4,7,7,7,0.140625,-1,100,-10
275,4,5,7,7,5,0.140625,-1,100,-10
276,6,3,7,7,5,0.140625,-1,100,-10
277,6,2,7,7,6,0.140625,-1,100,-10
278,7,4,7,7,3,0.140625,-1,100,-10
279,5,7,7,7,2,0.140625,-1,100,-10
280,6,6,7,7,2,0.140625,-1,100,-10
281,4,0,7,7,10,0.140625,-1,100,-10
282,3,1,7,7,10,0.140625,-1,100,-10
283,7,1,7,7,6,0.140625,-1,100,-10
284,1,1,7,7,12,0.140625,-1,100,-10
285,5,4,7,7,5,0.140625,-1,100,-10
286,7,3,7,7,4,0.140625,-1,100,-10
287,2,0,7,7,12,0.140625,-1,100,-10
288,0,2,7,7,12,0.140625,-1,100,-10
289,7,4,7,7,3,0.140625,-1,100,-10
290,7,0,7,7,7,0.140625,-1,100,-10
291,0,6,7,7,8,0.140625,-1,100,-10
292,0,0,7,7,14,0.140625,-1,100,-10
293,3,7,7,7,4,0.140625,-1,100,-10
294,5,0,7,7,9,0.140625,-1,100,-10
295,6,6,7,7,2,0.140625,-1,100,-10
296,6,7,7,7,1,0.140625,-1,100,-10
297,1,7,7,7,6,0.140625,-1,100,-10
298,2,6,7,7,6,0.140625,-1,100,-10
299,4,6,7,7,4,0.140625,-1,100,-10
300,5,5,7,7,4,0.140625,-1,100,-10
301,4,6,7,7,4,0.140625,-1,100,-10
302,5,1,7,7,8,0.140625,-1,100,-10
303,6,4,7,7,4,0.140625,-1,100,-10
304,2,4,7,7,8,0.140625,-1,100,-10
305,7,6,7,7,1,0.140625,-1,100,-10
306,6,3,7,7,5,0.140625,-1,100,-10
307,6,3,7,7,5,0.140625,-1,100,-10
308,5,5,7,7,4,0.140625,-1,100,-10
309,1,2,7,7,11,0.140625,-1,100,-10
310,0,1,7,7,13,0.140625,-1,100,-10
311,3,3,7,7,8,0.140625,-1,100,-10
312,1,3,7,7,10,0.140625,-1,100,-10
313,4,1,7,7,9,0.140625,-1,100,-10
314,2,2,7,7,10,0.140625,-1,100,-10
315,4,2,7,7,8,0.140625,-1,100,-10
316,5,2,7,7,7,0.140625,-1,100,-10
317,3,3,7,7,8,0.140625,-1,100,-10
318,1,5,7,7,8,0.140625,-1,100,-10
319,1,2,7,7,11,0.140625,-1,100,-10
320,6,7,7,7,1,0.140625,-1,100,-10
321,5,7,7,7,2,0.140625,-1,100,-10
322,6,3,7,7,5,0.140625,-1,100,-10
323,6,2,7,7,6,0.140625,-1,100,-10
324,3,4,7,7,7,0.140625,-1,100,-10
325,7,6,7,7,1,0.140625,-1,100,-10
326,3,5,7,7,6,0.140625,-1,100,-10
327,1,6,7,7,7,0.140625,-1,100,-10
328,4,4,7,7,6,0.140625,-1,100,-10
329,6,5,7,7,3,0.140625,-1,100,-10
330,0,2,7,7,12,0.140625,-1,100,-10
331,1,5,7,7,8,0.140625,-1,100,-10
332,0,1,7,7,13,0.140625,-1,100,-10
333,4,5,7,7,5,0.140625,-1,100,-10
334,4,6,7,7,4,0.140625,-1,100,-10
335,7,1,7,7,6,0.140625,-1,100,-10
336,7,4,7,7,3,0.140625,-1,100,-10
337,5,0,7,7,9,0.140625,-1,100,-10
338,4,5,7,7,5,0.140625,-1,100,-10
339,4,0,7,7,10,0.140625,-1,100,-10
340,4,7,7,7,3,0.140625,-1,100,-10
341,5,1,7,7,8,0.140625,-1,100,-10
342,7,7,7,7,0,0.140625,-1,100,-10
343,1,6,7,7,7,0.140625,-1,100,-10
344,3,4,7,7,7,0.140625,-1,100,-10
345,3,6,7,7,5,0.140625,-1,100,-10
346,7,6,7,7,1,0.140625,-1,100,-10
347,7,7,7,7,0,0.140625,-1,100,-10
348,0,2,7,7,12,0.140625,-1,100,-10
349,5,4,7,7,5,0.140625,-1,100,-10
350,0,0,7,7,14,0.140625,-1,100,-10
351,4,4,7,7,6,0.140625,-1,100,-10
352,1,1,7,7,12,0.140625,-1,100,-10
353,1,4,7,7,9,0.140625,-1,100,-10
354,0,4,7,7,10,0.140625,-1,100,-10
355,3,3,7,7,8,0.140625,-1,100,-10
356,5,4,7,7,5,0.140625,-1,100,-10
357,5,6,7,7,3,0.140625,-1,100,-10
358,7,6,7,7,1,0.140625,-1,100,-10
359,4,3,7,7,7,0.140625,-1,100,-10
360,1,4,7,7,9,0.140625,-1,100,-10
361,1,7,7,7,6,0.140625,-1,100,-10
362,6,0,7,7,8,0.140625,-1,100,-10
363,6,0,7,7,8,0.140625,-1,100,-10
364,5,0,7,7,9,0.140625,-1,100,-10
365,3,5,7,7,6,0.140625,-1,100,-10
366,5,3,7,7,6,0.140625,-1,100,-10
367,7,6,7,7,1,0.140625,-1,100,-10
368,1,5,7,7,8,0.140625,-1,100,-10
369,5,2,7,7,7,0.140625,-1,100,-10
370,5,7,7,7,2,0.140625,-1,100,-10
371,6,6,7,7,2,0.140625,-1,100,-10
372,5,2,7,7,7,0.140625,-1,100,-10
373,6,2,7,7,6,0.140625,-1,100,-10
374,4,2,7,7,8,0.140625,-1,100,-10
375,2,1,7,7,11,0.140625,-1,100,-10
376,7,1,7,7,6,0.140625,-1,100,-10
377,0,7,7,7,7,0.140625,-1,100,-10
378,4,3,7,7,7,0.140625,-1,100,-10
379,5,3,7,7,6,0.140625,-1,100,-10
380,1,5,7,7,8,0.140625,-1,100,-10
381,1,4,7,7,9,0.140625,-1,100,-10
382,7,7,7,7,0,0.140625,-1,100,-10
383,2,6,7,7,6,0.140625,-1,100,-10
384,4,3,7,7,7,0.140625,-1,100,-10
385,1,3,7,7,10,0.140625,-1,100,-10
386,5,7,7,7,2,0.140625,-1,100,-10
387,0,5,7,7,9,0.140625,-1,100,-10
388,6,7,7,7,1,0.140625,-1,100,-10
389,3,0,7,7,11,0.140625,-1,100,-10
390,2,6,7,7,6,0.140625,-1,100,-10
391,7,5,7,7,2,0.140625,-1,100,-10
392,0,0,7,7,14,0.140625,-1,100,-10
393,3,4,7,7,7,0.140625,-1,100,-10
394,0,5,7,7,9,0.140625,-1,100,-10
395,4,0,7,7,10,0.140625,-1,100,-10
396,0,3,7,7,11,0.140625,-1,100,-10
397,5,6,7,7,3,0.140625,-1,100,-10
398,3,2,7,7,9,0.140625,-1,100,-10
399,7,3,7,7,4,0.140625,-1,100,-10
400,2,3,7,7,9,0.140625,-1,100,-10
401,0,2,7,7,12,0.140625,-1,100,-10
402,4,7,7,7,3,0.140625,-1,100,-10
403,5,6,7,7,3,0.140625,-1,100,-10
404,4,0,7,7,10,0.140625,-1,100,-10
405,3,7,7,7,4,0.140625,-1,100,-10
406,0,7,7,7,7,0.140625,-1,100,-10
407,5,2,7,7,7,0.140625,-1,100,-10
408,6,6,7,7,2,0.140625,-1,100,-10
409,0,0,7,7,14,0.140625,-1,100,-10
410,5,7,7,7,2,0.140625,-1,100,-10
411,0,5,7,7,9,0.140625,-1,100,-10
412,1,5,7,7,8,0.140625,-1,100,-10
413,4,0,7,7,10,0.140625,-1,100,-10
414,5,7,7,7,2,0.140625,-1,100,-10
415,6,0,7,7,8,0.140625,-1,100,-10
416,1,1,7,7,12,0.140625,-1,100,-10
417,3,1,7,7,10,0.140625,-1,100,-10
418,6,6,7,7,2,0.140625,-1,100,-10
419,6,1,7,7,7,0.140625,-1,100,-10
420,0,7,7,7,7,0.140625,-1,100,-10
421,2,5,7,7,7,0.140625,-1,100,-10
422,7,0,7,7,7,0.140625,-1,100,-10
423,0,0,7,7,14,0.140625,-1,100,-10
424,1,0,7,7,13,0.140625,-1,100,-10
425,6,4,7,7,4,0.140625,-1,100,-10
426,7,6,7,7,1,0.140625,-1,100,-10
427,7,1,7,7,6,0.140625,-1,100,-10
428,2,6,7,7,6,0.140625,-1,100,-10
429,1,0,7,7,13,0.140625,-1,100,-10
430,5,6,7,7,3,0.140625,-1,100,-10
431,7,7,7,7,0,0.140625,-1,100,-10
432,0,6,7,7,8,0.140625,-1,100,-10
433,6,5,7,7,3,0.140625,-1,100,-10
434,6,6,7,7,2,0.140625,-1,100,-10
435,3,0,7,7,11,0.140625,-1,100,-10
436,3,1,7,7,10,0.140625,-1,100,-10
437,0,0,7,7,14,0.140625,-1,100,-10
438,5,4,7,7,5,0.140625,-1,100,-10
439,4,5,7,7,5,0.140625,-1,100,-10
440,4,5,7,7,5,0.140625,-1,100,-10
441,0,6,7,7,8,0.140625,-1,100,-10
442,3,1,7,7,10,0.140625,-1,100,-10
443,6,5,7,7,3,0.140625,-1,100,-10
444,0,1,7,7,13,0.140625,-1,100,-10
445,0,2,7,7,12,0.140625,-1,100,-10
446,0,5,7,7,9,0.140625,-1,100,-10
447,4,7,7,7,3,0.140625,-1,100,-10
448,5,4,7,7,5,0.140625,-1,100,-10
449,4,0,7,7,10,0.140625,-1,100,-10
450,0,4,7,7,10,0.140625,-1,100,-10
451,0,0,7,7,14,0.140625,-1,100,-10
452,1,7,7,7,6,0.140625,-1,100,-10
453,3,5,7,7,6,0.140625,-1,100,-10
454,3,1,7,7,10,0.140625,-1,100,-10
455,2,0,7,7,12,0.140625,-1,100,-10
456,6,1,7,7,7,0.140625,-1,100,-10
457,3,7,7,7,4,0.140625,-1,100,-10
458,4,3,7,7,7,0.140625,-1,100,-10
459,4,6,7,7,4,0.140625,-1,100,-10
460,2,5,7,7,7,0.140625,-1,100,-10
461,6,4,7,7,4,0.140625,-1,100,-10
462,3,1,7,7,10,0.140625,-1,100,-10
463,1,7,7,7,6,0.140625,-1,100,-10
464,4,2,7,7,8,0.140625,-1,100,-10
465,3,4,7,7,7,0.140625,-1,100,-10
466,4,5,7,7,5,0.140625,-1,100,-10
467,2,5,7,7,7,0.140625,-1,100,-10
468,3,7,7,7,4,0.140625,-1,100,-10
469,1,1,7,7,12,0.140625,-1,100,-10
470,3,4,7,7,7,0.140625,-1,100,-10
471,5,3,7,7,6,0.140625,-1,100,-10
472,7,3,7,7,4,0.140625,-1,100,-10
473,1,0,7,7,13,0.140625,-1,100,-10
474,7,1,7,7,6,0.140625,-1,100,-10
475,7,2,7,7,5,0.140625,-1,100,-10
476,0,2,7,7,12,0.140625,-1,100,-10
477,4,3,7,7,7,0.140625,-1,100,-10
478,6,4,7,7,4,0.140625,-1,100,-10
479,3,5,7,7,6,0.140625,-1,100,-10
480,7,3,7,7,4,0.140625,-1,100,-10
481,1,3,7,7,10,0.140625,-1,100,-10
482,6,1,7,7,7,0.140625,-1,100,-10
483,7,4,7,7,3,0.140625,-1,100,-10
484,4,2,7,7,8,0.140625,-1,100,-10
485,7,0,7,7,7,0.140625,-1,100,-10
486,2,3,7,7,9,0.140625,-1,100,-10
487,3,3,7,7,8,0.140625,-1,100,-10
488,1,1,7,7,12,0.140625,-1,100,-10
489,0,4,7,7,10,0.140625,-1,100,-10
490,2,4,7,7,8,0.140625,-1,100,-10
491,4,5,7,7,5,0.140625,-1,100,-10
492,4,5,7,7,5,0.140625,-1,100,-10
493,4,5,7,7,5,0.140625,-1,100,-10
494,4,2,7,7,8,0.140625,-1,100,-10
495,1,6,7,7,7,0.140625,-1,100,-10
496,2,4,7,7,8,0.140625,-1,100,-10
497,1,3,7,7,10,0.140625,-1,100,-10
498,4,5,7,7,5,0.140625,-1,100,-10
499,4,2,7,7,8,0.140625,-1,100,-10
500,7,4,7,7,3,0.140625,-1,100,-10
501,6,5,7,7,3,0.140625,-1,100,-10
502,4,7,7,7,3,0.140625,-1,100,-10
503,1,7,7,7,6,0.140625,-1,100,-10
504,6,4,7,7,4,0.140625,-1,100,-10
505,5,4,7,7,5,0.140625,-1,100,-10
506,2,6,7,7,6,0.140625,-1,100,-10
507,1,2,7,7,11,0.140625,-1,100,-10
508,4,6,7,7,4,0.140625,-1,100,-10
509,3,3,7,7,8,0.140625,-1,100,-10
510,0,0,7,7,14,0.140625,-1,100,-10
511,0,0,7,7,14,0.140625,-1,100,-10
512,6,6,7,7,2,0.140625,-1,100,-10
513,6,0,7,7,8,0.140625,-1,100,-10
514,0,2,7,7,12,0.140625,-1,100,-10
515,4,2,7,7,8,0.140625,-1,100,-10
516,3,1,7,7,10,0.140625,-1,100,-10
517,5,2,7,7,7,0.140625,-1,100,-10
518,0,5,7,7,9,0.140625,-1,100,-10
519,7,0,7,7,7,0.140625,-1,100,-10
520,3,6,7,7,5,0.140625,-1,100,-10
521,5,6,7,7,3,0.140625,-1,100,-10
522,3,2,7,7,9,0.140625,-1,100,-10
523,5,1,7,7,8,0.140625,-1,100,-10
524,1,4,7,7,9,0.140625,-1,100,-10
525,5,0,7,7,9,0.140625,-1,100,-10
526,4,2,7,7,8,0.140625,-1,100,-10
527,4,7,7,7,3,0.140625,-1,100,-10
528,0,7,7,7,7,0.140625,-1,100,-10
529,3,6,7,7,5,0.140625,-1,100,-10
530,3,2,7,7,9,0.140625,-1,100,-10
531,6,5,7,7,3,0.140625,-1,100,-10
532,1,5,7,7,8,0.140625,-1,100,-10
533,6,3,7,7,5,0.140625,-1,100,-10
534,7,5,7,7,2,0.140625,-1,100,-10
535,2,0,7,7,12,0.140625,-1,100,-10
536,5,1,7,7,8,0.140625,-1,100,-10
537,6,4,7,7,4,0.140625,-1,100,-10
538,3,1,7,7,10,0.140625,-1,100,-10
539,5,1,7,7,8,0.140625,-1,100,-10
540,3,6,7,7,5,0.140625,-1,100,-10
541,7,7,7,7,0,0.140625,-1,100,-10
542,7,4,7,7,3,0.140625,-1,100,-10
543,1,6,7,7,7,0.140625,-1,100,-10
544,6,7,7,7,1,0.140625,-1,100,-10
545,5,1,7,7,8,0.140625,-1,100,-10
546,4,3,7,7,7,0.140625,-1,100,-10
547,6,3,7,7,5,0.140625,-1,100,-10
548,2,0,7,7,12,0.140625,-1,100,-10
549,6,6,7,7,2,0.140625,-1,100,-10
550,0,3,7,7,11,0.140625,-1,100,-10
551,3,3,7,7,8,0.140625,-1,100,-10
552,7,1,7,7,6,0.140625,-1,100,-10
553,2,1,7,7,11,0.140625,-1,100,-10
554,1,7,7,7,6,0.140625,-1,100,-10
